Date,Close,High,P_H,Low,P_L,Signal,NIKKEI_returns,strategy_returns
2018-01-29,23629.33984375,23787.23046875,23782.128472732405,23580.169921875,23635.161198334878,0,-0.0001075248999485856,-0.0001075248999485856
2018-01-30,23291.970703125,23581.98046875,23626.95809932014,23233.369140625,23465.339131348606,1,-0.014277552519700865,-0.0
2018-01-31,23098.2890625,23375.380859375,23321.292341255095,23092.849609375,23084.909680154255,-1,-0.00831538228746842,-0.00831538228746842
2018-02-01,23486.109375,23492.76953125,23404.697814567375,23211.119140625,23176.045017480075,-1,0.016790001694524825,-0.016790001694524825
2018-02-02,23274.529296875,23367.9609375,23430.930280387493,23122.44921875,23232.908420350228,1,-0.009008732555346843,0.009008732555346843
2018-02-05,22682.080078125,22967.689453125,23017.60509057114,22659.4296875,22754.142748591155,1,-0.025454831382112908,-0.025454831382112908
2018-02-06,21610.240234375,22277.44921875,22394.254341235293,21078.7109375,22056.518210586804,1,-0.04725491842274643,-0.04725491842274643
2018-02-07,21645.369140625,22353.869140625,22257.279155913973,21627.130859375,21880.045790288525,0,0.001625567595223698,0.001625567595223698
2018-02-08,21890.859375,21977.029296875,21943.985438739404,21649.69921875,21563.3193154139,-1,0.011341466748850726,0.0
2018-02-09,21382.619140625,21510.30078125,21647.507734718078,21119.009765625,21285.168394317814,1,-0.023217006955671415,0.023217006955671415
2018-02-13,21244.6796875,21679.19921875,21847.446510742117,21211.529296875,21488.33841832668,1,-0.0064510082800346424,-0.0064510082800346424
2018-02-14,21154.169921875,21371.009765625,21485.861116446147,20950.150390625,21077.789890512864,1,-0.004260349741975866,-0.004260349741975866
2018-02-15,21464.98046875,21578.990234375,21602.376878496616,21308.919921875,21236.508281510072,0,0.014692637339250858,0.014692637339250858
2018-02-16,21720.25,21866.369140625,21734.599160474172,21499.880859375,21403.60456540699,-1,0.011892371932116896,0.0
2018-02-19,22149.2109375,22152.849609375,22061.425012284224,21858.330078125,21777.35717855838,-1,0.019749355440199734,-0.019749355440199734
2018-02-20,21925.099609375,22063.869140625,22160.16076615258,21831.44921875,21904.988430394227,1,-0.010118253366108165,0.010118253366108165
2018-02-21,21970.810546875,22130.580078125,22082.11376946697,21836.73046875,21812.674243759477,-1,0.0020848679510880874,0.0020848679510880874
2018-02-22,21736.439453125,21799.400390625,21897.661636250003,21626.849609375,21620.925145401452,0,-0.01066738494922459,0.01066738494922459
2018-02-23,21892.779296875,21903.390625,21928.20038249104,21741.630859375,21647.955952702494,0,0.0071925231401006595,0.0
2018-02-26,22153.630859375,22226.529296875,22258.953188673357,22040.869140625,22028.66416129499,0,0.01191495876164228,0.0
2018-02-27,22389.859375,22502.05078125,22518.51112772719,22325.0703125,22306.119253305154,0,0.01066319634575974,0.0
2018-02-28,22068.240234375,22380.279296875,22394.04721190439,22068.240234375,22163.666456880066,1,-0.01436450025157876,-0.0
2018-03-01,21724.470703125,21901.130859375,22028.9925026351,21645.220703125,21744.539924093016,1,-0.01557756883190542,-0.01557756883190542
2018-03-02,21181.640625,21366.08984375,21451.873355913584,21088.9609375,21134.43932380191,1,-0.0249870335412552,-0.0249870335412552
2018-03-05,21042.08984375,21164.380859375,21184.197275302122,20937.259765625,20862.53742689438,0,-0.006588289534347647,-0.006588289534347647
2018-03-06,21417.759765625,21551.140625,21561.17286704763,21381.419921875,21267.662274492806,0,0.017853260995679188,0.0
2018-03-07,21252.720703125,21484.080078125,21403.6433642577,21201.939453125,21091.171259519215,-1,-0.007705710788897924,-0.0
2018-03-08,21368.0703125,21488.16015625,21658.67996741465,21299.400390625,21364.47942094309,1,0.005427522009360475,-0.005427522009360475
2018-03-09,21469.19921875,21884.44921875,21770.676907659923,21357.55078125,21478.99095269731,0,0.004732711226190567,0.004732711226190567
2018-03-12,21824.029296875,21971.16015625,22005.97810594143,21689.970703125,21739.470952517222,1,0.016527401628241067,0.0
2018-03-13,21968.099609375,21968.099609375,21868.84674155748,21700.779296875,21603.70010920764,-1,0.0066014534044192,0.0066014534044192
2018-03-14,21777.2890625,21881.08984375,21845.84606568475,21684.01953125,21601.479510518973,-1,-0.008685801242159785,0.008685801242159785
2018-03-15,21803.94921875,21825.970703125,21810.40753894962,21555.490234375,21555.55423644625,0,0.0012242183209070223,-0.0012242183209070223
2018-03-16,21676.509765625,21879.279296875,21978.586969023287,21632.849609375,21749.808117218294,1,-0.005844787650459704,-0.0
2018-03-19,21480.900390625,21659.0390625,21676.704732290364,21366.880859375,21382.092103763644,1,-0.009024025413454706,-0.009024025413454706
